#timestamp,left,right,acc_x,acc_y,acc_z,roll,pitch,yaw,event
1568115623385,-213,151,-2217,1586,-16230,-63,31,11,0
1568115623400,-220,145,-2297,1673,-16301,-83,69,-21,0
1568115623409,-219,144,-2281,1588,-16363,-101,101,-27,0
1568115623415,-221,141,-2251,1586,-16428,-126,91,-19,0
1568115623430,-224,136,-2189,1579,-16428,-124,62,-23,0
1568115623438,-225,133,-2233,1630,-16472,-87,27,-2,0
1568115623449,-217,140,-2166,1627,-16422,-44,-6,-3,0
1568115623460,-212,147,-2257,1649,-16374,-30,-27,-4,0
1568115623468,-213,143,-2218,1640,-16336,-28,-35,-4,0
1568115623477,-218,136,-2219,1631,-16360,0,-24,-14,0
1568115623490,-218,136,-2253,1665,-16319,-20,-20,-22,0
1568115623497,-214,142,-2241,1624,-16342,-8,-10,-18,0
1568115623506,-212,147,-2213,1625,-16294,-17,23,-26,0
1568115623520,-212,147,-2245,1580,-16295,3,37,-31,0
1568115623527,-218,140,-2239,1619,-16354,12,63,-23,0
1568115623534,-223,132,-2255,1619,-16394,18,53,-25,0
1568115623550,-218,138,-2255,1602,-16418,4,79,-24,0
1568115623559,-208,148,-2218,1595,-16362,11,50,-13,0
1568115623566,-205,151,-2211,1595,-16352,24,64,-11,0
1568115623580,-206,147,-2225,1603,-16391,28,51,-6,0
1568115623588,-201,151,-2188,1579,-16362,36,39,-9,0
1568115623595,-195,156,-2237,1556,-16376,36,51,-23,0
1568115623610,-196,155,-2223,1593,-16376,27,43,-10,0
1568115623617,-201,150,-2230,1527,-16372,38,31,-7,0
1568115623627,-205,142,-2163,1556,-16367,37,12,18,0
1568115623642,-209,136,-2172,1522,-16397,25,3,17,0
1568115623647,-213,132,-2225,1544,-16371,5,-17,46,0
1568115623656,-211,133,-2239,1532,-16331,29,-26,34,0
1568115623670,-210,136,-2187,1580,-16343,25,-22,47,0
